paper_id,author_id,affiliation
2505751,81502661355,"The University of Tokyo, Tokyo, Japan"
2505751,81758679957,"National Institute of Informatics, and Preferred Infrastructure, Inc., Tokyo, Japan"
2396816,81414592499,"Carnegie Mellon University, Pittsburgh, PA, USA"
2396816,81337494052,"IBM T. J. Watson, Hawthorne, NY, USA"
2396816,81335499054,"University of Antwerp, Mathematics and Computer Science, Belgium"
2396816,81100373169,"Carnegie Mellon University, Pittsburgh, PA, USA"
2063606,81384621422,"University of Massachusetts Amherst, Amherst, MA, USA"
2063606,81342487699,"University of Massachusetts Amherst, Amherst, MA, USA"
1458278,81384621422,"University of Massachusetts Amherst, Amherst, MA, USA"
1458278,81384621996,"University of Massachusetts Amherst, Amherst, MA, USA"
1458278,81342487699,"University of Massachusetts Amherst, Amherst, MA, USA"
191249,81310500091,"Computer Science Department, Rensselaer Polytechnic Institute, Troy, New York"
191249,81100184954,"Computer Science Department, Rensselaer Polytechnic Institute, Troy, New York"
584817,81100464154,"University of Michigan, Ann Arbor, MI"
584817,81309509146,"University of Michigan, Ann Arbor, MI"
502603,81100165573,"Thomson Legal & Regulatory, Rochester, NY"
502603,81537841656,"Thomson Legal & Regulatory, Rochester, NY"
502603,81100287966,"Thomson Legal & Regulatory, Rochester, NY"
502603,81100009057,"Thomson Legal & Regulatory, Rochester, NY"
502603,81406593214,"Thomson Legal & Regulatory, Eagan, MN"
1460030,81384605813,"George Mason University / Kuwait University, Fairfax, VA, USA"
1460030,81100222615,"George Mason University, Fairfax, USA"
2662047,99658654792,"King Abdullah University of Science & Technology (KAUST), Thuwal, Saudi Arabia"
2662047,81460643374,"King Abdullah University of Science & Technology (KAUST), Thuwal, Saudi Arabia"
2662047,81436599318,"King Abdullah University of Science & Technology (KAUST), Thuwal, Saudi Arabia"
221578,81452609841,"Concordia University, Montreal, Canada"
221578,81100565353,"University of North Carolina at Greensboro, Greensboro, NC"
221578,81100286055,"Concordia University, Montreal, Canada"
2665996,81418593885,"Korea University, Seoul, South Korea"
2665996,99658652806,"Korea University, Seoul, South Korea"
2665996,81409594320,"Korea University, Seoul, South Korea"
2505709,81485655752,"University of Glasgow, Glasgow, United Kingdom"
2505709,81316489301,"University of Glasgow, Glasgow, United Kingdom"
2505709,81100017083,"University of Glasgow, Glasgow, United Kingdom"
354854,81100448298,"Computer Science Dept., Portland State University, P.O. Box 751, Portland, OR"
1460040,81384620464,"University of Tehran, Tehran, Iran"
1460040,81384591232,"University of Tehran, Tehran, Iran"
1460040,81350602462,"University of Tehran, Tehran, Iran"
1460040,81343501804,"University of Wollongong in Dubai, Dubai, Uae"
1871540,81421592617,"Queensland University of Technology, Brisbane, Australia"
1871540,81409597966,"Queensland University of Technology, Brisbane, Australia"
1871540,81314493213,"Queensland University of Technology, Brisbane, Australia"
1646183,81421592617,"Queensland University of Technology, Brisbane, Australia"
1646183,81409597966,"Queensland University of Technology, Brisbane, Australia"
1646183,81314493213,"Queensland University of Technology, Brisbane, Australia"
1646183,81406595957,"City University of Hong Kong, Hong Kong, China"
2661972,99658657526,"University of Canterbury, Christchurch, New Zealand"
2661972,99658658172,"Enviro-Mark Solutions Ltd, Lincoln, New Zealand"
2661972,81406597531,"University of Canterbury, Christchurch, New Zealand"
2661972,81331500209,"University of Canterbury, Christchurch, New Zealand"
191262,81100613277,"Department of Information Science, King Saud University, P.O. Box 51178 Riyadh 11543 Saudi Arabia"
191262,81100183236,"Department of Computer Engineering, Middle East Technical University, 06531 Ankara Turkey"
1458235,81384597647,"University of Toronto, Toronto, ON, Canada"
1458235,81100363546,"University of Toronto, Toronto, ON, Canada"
